,지역,인구,세대수,사업체수,카드매출액,wifi사용자수,클린하우스개수,adm_cd,군집
0,제주시 이도2동,50137,19526,4988,6.909,3076786,119,3901054,1
1,제주시 연동,43217,19336,4681,11.353,3126565,129,3901065,1
2,제주시 노형동,56223,21026,4318,8.137,4843117,123,3901066,1
3,제주시 애월읍,36550,15563,2232,4.421,939748,164,3901012,3
4,제주시 일도2동,34684,13187,2173,3.349,2563285,65,3901052,3
5,제주시 한림읍,25003,10204,2065,2.931,450801,160,3901011,3
6,제주시 아라동,34321,13337,1909,2.99,1826291,91,3901063,3
7,제주시 조천읍,24718,10538,1688,2.959,1677427,218,3901014,3
8,서귀포시 대정읍,23094,9924,1655,2.081,729594,136,3902011,3
9,서귀포시 동홍동,24163,8933,1651,1.008,1517329,46,3902057,3
10,제주시 구좌읍,16283,7670,1561,1.692,565136,188,3901013,2
11,제주시 화북동,25391,9542,1516,1.65,1346005,67,3901060,3
12,제주시 이도1동,7989,7851,1510,1.717,1706470,22,3901053,2
13,서귀포시 성산읍,17180,7753,1484,2.775,1306846,47,3902013,2
14,제주시 삼도1동,14345,5952,1385,1.105,919731,30,3901055,2
15,제주시 일도1동,2993,1623,1329,1.585,1054688,13,3901051,0
16,서귀포시 중앙동,3984,2124,1277,0.9135,79420,8,3902053,0
17,서귀포시 표선면,12824,5922,1140,1.763,882465,43,3902032,2
18,제주시 외도동,21741,8167,1106,1.425,994026,58,3901067,2
19,서귀포시 남원읍,19778,8438,1070,2.011,501055,57,3902012,2
20,제주시 삼도2동,8662,4161,1025,2.088,1223869,33,3901056,2
21,제주시 용담2동,15673,6456,1021,8.26,1658664,69,3901058,2
22,서귀포시 안덕면,12537,6033,966,2.808,1003790,57,3902031,2
23,제주시 도두동,3257,1412,952,1.048,141161,29,3901069,0
24,제주시 오라동,14906,5565,924,1.842,300518,54,3901064,2
25,제주시 삼양동,25153,9273,857,1.554,675844,77,3901061,2
26,제주시 용담1동,7610,3543,784,0.681,812415,32,3901057,0
27,제주시 건입동,9857,4235,767,1.624,1018933,45,3901059,0
28,서귀포시 중문동,11482,5155,721,2.192,1151592,32,3902061,2
29,서귀포시 천지동,3657,1921,690,1.1525,1640001,12,3902054,0
30,서귀포시 대륜동,14156,5844,688,2.157,1691605,34,3902059,2
31,제주시 한경면,9447,4657,637,0.815,296704,130,3901031,0
32,서귀포시 정방동,2444,1342,587,0.9135,1640000,10,3902052,0
33,서귀포시 서홍동,10697,4240,492,0.239,1196272,22,3902058,0
34,서귀포시 대천동,13930,6089,491,1.079,170659,29,3902060,0
35,서귀포시 영천동,5478,2430,457,1.153,502605,20,3902056,0
36,서귀포시 예래동,4414,1985,419,3.023,628036,19,3902062,0
37,서귀포시 송산동,5027,2088,363,2.4315,8907,20,3902051,0
38,제주시 우도면,1892,999,278,0.466,156445,22,3901033,0
39,서귀포시 효돈동,5396,2262,278,0.352,162734,31,3902055,0
40,제주시 이호동,4654,1829,272,0.49,114543,30,3901068,0
41,제주시 봉개동,4936,2094,257,0.736,411600,22,3901062,0
42,제주시 추자면,2149,1049,212,0.121,0,23,3901032,0
