,지역,인구,세대수,사업체수,카드매출액,wifi사용자수
0,제주시 이도2동,50137,19526,4988,6.909,3076786.0
1,제주시 연동,43217,19336,4681,11.353,3126565.0
2,제주시 노형동,56223,21026,4318,8.137,4843117.0
3,제주시 애월읍,36550,15563,2232,4.421,939748.0
4,제주시 일도2동,34684,13187,2173,3.349,2563285.0
5,제주시 한림읍,25003,10204,2065,2.931,450801.0
6,제주시 아라동,34321,13337,1909,2.99,1826291.0
7,제주시 조천읍,24718,10538,1688,2.959,1677427.0
8,서귀포시 대정읍,23094,9924,1655,2.081,729594.0
9,서귀포시 동홍동,24163,8933,1651,1.008,1517329.0
10,제주시 구좌읍,16283,7670,1561,1.692,565136.0
11,제주시 화북동,25391,9542,1516,1.65,1346005.0
12,제주시 이도1동,7989,7851,1510,1.717,1706470.0
13,서귀포시 성산읍,17180,7753,1484,2.775,1306846.0
14,제주시 삼도1동,14345,5952,1385,1.105,919731.0
15,제주시 일도1동,2993,1623,1329,1.585,1054688.0
16,서귀포시 중앙동,3984,2124,1277,0.9135,79420.0
17,서귀포시 표선면,12824,5922,1140,1.763,882465.0
18,제주시 외도동,21741,8167,1106,1.425,994026.0
19,서귀포시 남원읍,19778,8438,1070,2.011,501055.0
20,제주시 삼도2동,8662,4161,1025,2.088,1223869.0
21,제주시 용담2동,15673,6456,1021,8.26,1658664.0
22,서귀포시 안덕면,12537,6033,966,2.808,1003790.0
23,제주시 도두동,3257,1412,952,1.048,141161.0
24,제주시 오라동,14906,5565,924,1.842,300518.0
25,제주시 삼양동,25153,9273,857,1.554,675844.0
26,제주시 용담1동,7610,3543,784,0.681,812415.0
27,제주시 건입동,9857,4235,767,1.624,1018933.0
28,서귀포시 중문동,11482,5155,721,2.192,1151592.0
29,서귀포시 천지동,3657,1921,690,1.1525,1640001.0
30,서귀포시 대륜동,14156,5844,688,2.157,1691605.0
31,제주시 한경면,9447,4657,637,0.815,296704.0
32,서귀포시 정방동,2444,1342,587,0.9135,1640000.0
33,서귀포시 서홍동,10697,4240,492,0.239,1196272.0
34,서귀포시 대천동,13930,6089,491,1.079,170659.0
35,서귀포시 영천동,5478,2430,457,1.153,502605.0
36,서귀포시 예래동,4414,1985,419,3.023,628036.0
37,서귀포시 송산동,5027,2088,363,2.4315,8907.0
38,제주시 우도면,1892,999,278,0.466,156445.0
39,서귀포시 효돈동,5396,2262,278,0.352,162734.0
40,제주시 이호동,4654,1829,272,0.49,114543.0
41,제주시 봉개동,4936,2094,257,0.736,411600.0
42,제주시 추자면,2149,1049,212,0.121,0.0
