제주도(톤/일),매립,소각,재활용,합계
2014,249.8,179.3,547.1,976.2
2015,278.6,226.5,657.2,1162.3
2016,303.4,304.6,697.3,1305.3
2017,244.7,319.4,748,1312.1
2018,209.7,332.2,772,1313.9
,,,,
제주시(톤/일),매립,소각,재활용,합계
2014,166,131,360.5,657.5
2015,204,164.4,450.9,819.3
2016,195.8,236.9,449.2,881.9
2017,142.6,238.8,499.9,881.3
2018,138.7,251.2,533.3,923.2
,,,,
서귀포시(톤/일),매립,소각,재활용,합계
2014,83.8,48.3,186.6,318.7
2015,74.6,62.1,206.3,343
2016,107.6,67.7,248.1,423.4
2017,102.1,80.6,248.1,430.8
2018,71,81,238.7,390.7
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
